datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-05-31 23:00:00,105.15,40.0,0.0,32.62552521929823,False,0.0,0.0,0.525,0.0
2024-05-31 23:15:00,86.6,40.0,-21.65,32.62552521929823,False,-1.0,-0.25,0.525,-21.65
2024-05-31 23:30:00,81.6,40.0,-20.4,32.62552521929823,False,-1.0,-0.25,0.7625,-20.4
2024-05-31 23:45:00,68.8,40.0,16.34,32.62552521929823,False,1.0,0.2375,1.0,16.34
2024-06-01 00:00:00,90.9,32.4,21.58875,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 00:15:00,89.64,32.4,21.2895,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 00:30:00,76.3,32.4,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 00:45:00,70.6,32.4,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 01:00:00,93.6,32.4,22.229999999999997,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 01:15:00,83.09,32.4,19.733875,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 01:30:00,66.9,32.4,-0.8802631578947383,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 01:45:00,59.1,32.4,-14.775,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 02:00:00,85.0,32.4,20.1875,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 02:15:00,67.93,32.4,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 02:30:00,62.8,32.4,-15.7,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 02:45:00,59.1,32.4,-14.775,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 03:00:00,80.02,32.4,19.004749999999998,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 03:15:00,64.5,32.4,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 03:30:00,62.1,32.4,-15.525,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 03:45:00,59.1,32.4,-14.775,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 04:00:00,67.4,45.0,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 04:15:00,62.1,45.0,-15.525,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 04:30:00,62.8,45.0,-15.7,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 04:45:00,72.9,45.0,17.31375,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 05:00:00,60.01,45.0,-15.0025,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 05:15:00,57.56,45.0,-14.39,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 05:30:00,69.77,45.0,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 05:45:00,77.49,45.0,18.403875,46.5215799890351,True,,,1.0,2.9075987493146935
